team1,team2,score1,score2
LuleaLHF,VaxjoVLH,3,2
MoraMIK,TimraTIK,5,3
RogleRBK,SkellefteaSKE,2,3
FarjestadFBK,DjurgardenDIF,2,3
HV71HV71,LinkopingLHC,4,0
MalmoMIF,OrebroORE,3,1
FrolundaFHC,BrynasBIF,5,2
OrebroORE,MoraMIK,4,1
DjurgardenDIF,FrolundaFHC,4,2
VaxjoVLH,SkellefteaSKE,1,2
FarjestadFBK,LuleaLHF,3,0
LinkopingLHC,BrynasBIF,3,2
TimraTIK,HV71HV71,3,5
MalmoMIF,RogleRBK,3,0
BrynasBIF,RogleRBK,1,4
VaxjoVLH,FarjestadFBK,1,2
TimraTIK,MalmoMIF,2,1
SkellefteaSKE,OrebroORE,2,1
LuleaLHF,LinkopingLHC,4,3
DjurgardenDIF,MoraMIK,7,1
FrolundaFHC,HV71HV71,6,1
HV71HV71,FrolundaFHC,6,1
SkellefteaSKE,TimraTIK,7,0
MoraMIK,VaxjoVLH,5,1
OrebroORE,FarjestadFBK,1,4
BrynasBIF,MalmoMIF,4,3
RogleRBK,DjurgardenDIF,5,3
LinkopingLHC,LuleaLHF,0,3
DjurgardenDIF,SkellefteaSKE,2,3
VaxjoVLH,RogleRBK,4,1
FarjestadFBK,BrynasBIF,4,1
TimraTIK,OrebroORE,3,5
MalmoMIF,MoraMIK,7,1
LuleaLHF,HV71HV71,3,2
FrolundaFHC,LinkopingLHC,3,1
SkellefteaSKE,BrynasBIF,3,2
FarjestadFBK,MoraMIK,8,3
RogleRBK,FrolundaFHC,5,7
HV71HV71,DjurgardenDIF,2,3
OrebroORE,VaxjoVLH,2,1
LinkopingLHC,MalmoMIF,2,3
TimraTIK,LuleaLHF,0,2
MoraMIK,FarjestadFBK,3,0
FrolundaFHC,OrebroORE,4,1
DjurgardenDIF,LuleaLHF,1,3
RogleRBK,TimraTIK,2,5
LinkopingLHC,VaxjoVLH,2,4
MalmoMIF,HV71HV71,4,3
BrynasBIF,SkellefteaSKE,3,4
LuleaLHF,RogleRBK,1,0
VaxjoVLH,DjurgardenDIF,2,0
HV71HV71,OrebroORE,1,2
TimraTIK,LinkopingLHC,1,3
FrolundaFHC,MalmoMIF,4,2
MoraMIK,BrynasBIF,6,1
SkellefteaSKE,FarjestadFBK,1,3
LinkopingLHC,DjurgardenDIF,2,3
LuleaLHF,FrolundaFHC,3,1
OrebroORE,BrynasBIF,3,1
VaxjoVLH,HV71HV71,3,2
RogleRBK,MoraMIK,5,1
FarjestadFBK,TimraTIK,1,0
MalmoMIF,SkellefteaSKE,0,2
SkellefteaSKE,LuleaLHF,1,2
BrynasBIF,HV71HV71,2,4
TimraTIK,VaxjoVLH,1,5
FrolundaFHC,MoraMIK,4,2
OrebroORE,LinkopingLHC,4,2
RogleRBK,FarjestadFBK,1,6
DjurgardenDIF,MalmoMIF,2,1
MalmoMIF,TimraTIK,6,2
HV71HV71,RogleRBK,2,3
FarjestadFBK,LinkopingLHC,3,0
MoraMIK,LuleaLHF,1,2
TimraTIK,BrynasBIF,2,4
DjurgardenDIF,OrebroORE,0,2
MalmoMIF,VaxjoVLH,3,1
FrolundaFHC,SkellefteaSKE,7,1
FarjestadFBK,HV71HV71,6,2
OrebroORE,DjurgardenDIF,5,2
LuleaLHF,MalmoMIF,5,1
SkellefteaSKE,MoraMIK,3,4
VaxjoVLH,BrynasBIF,5,3
LinkopingLHC,RogleRBK,3,4
TimraTIK,FrolundaFHC,1,5
MoraMIK,LinkopingLHC,3,2
BrynasBIF,LuleaLHF,1,2
DjurgardenDIF,TimraTIK,2,1
RogleRBK,OrebroORE,5,2
HV71HV71,SkellefteaSKE,1,3
MalmoMIF,FarjestadFBK,5,6
FrolundaFHC,VaxjoVLH,4,3
LuleaLHF,DjurgardenDIF,2,1
SkellefteaSKE,LinkopingLHC,2,4
VaxjoVLH,RogleRBK,5,3
HV71HV71,FrolundaFHC,5,3
OrebroORE,TimraTIK,3,2
BrynasBIF,MalmoMIF,4,1
FarjestadFBK,MoraMIK,3,2
LuleaLHF,BrynasBIF,2,3
MoraMIK,HV71HV71,2,3
FarjestadFBK,OrebroORE,7,1
TimraTIK,DjurgardenDIF,4,5
RogleRBK,VaxjoVLH,2,1
LinkopingLHC,SkellefteaSKE,1,3
OrebroORE,FrolundaFHC,4,3
BrynasBIF,MoraMIK,1,4
DjurgardenDIF,FarjestadFBK,3,2
HV71HV71,TimraTIK,7,1
MalmoMIF,LuleaLHF,1,2
SkellefteaSKE,RogleRBK,2,3
VaxjoVLH,LinkopingLHC,2,3
SkellefteaSKE,OrebroORE,3,2
RogleRBK,LuleaLHF,2,3
BrynasBIF,LinkopingLHC,4,1
HV71HV71,VaxjoVLH,4,2
TimraTIK,FarjestadFBK,2,5
MalmoMIF,MoraMIK,5,1
FrolundaFHC,DjurgardenDIF,1,6
LuleaLHF,SkellefteaSKE,2,3
MoraMIK,TimraTIK,0,5
BrynasBIF,HV71HV71,2,3
DjurgardenDIF,MalmoMIF,2,3
LinkopingLHC,FrolundaFHC,2,3
OrebroORE,VaxjoVLH,4,2
FarjestadFBK,RogleRBK,4,6
MalmoMIF,DjurgardenDIF,3,1
VaxjoVLH,FrolundaFHC,3,4
DjurgardenDIF,BrynasBIF,3,0
LuleaLHF,FarjestadFBK,4,5
OrebroORE,MoraMIK,1,2
RogleRBK,LinkopingLHC,1,3
HV71HV71,SkellefteaSKE,1,3
TimraTIK,MalmoMIF,3,4
BrynasBIF,DjurgardenDIF,1,2
SkellefteaSKE,VaxjoVLH,3,0
MoraMIK,RogleRBK,4,1
LinkopingLHC,OrebroORE,5,4
HV71HV71,LuleaLHF,0,4
FrolundaFHC,FarjestadFBK,0,3
MoraMIK,FrolundaFHC,2,3
FarjestadFBK,MalmoMIF,3,1
TimraTIK,SkellefteaSKE,4,6
OrebroORE,LuleaLHF,1,2
DjurgardenDIF,LinkopingLHC,6,3
RogleRBK,HV71HV71,1,3
VaxjoVLH,BrynasBIF,3,2
SkellefteaSKE,DjurgardenDIF,1,3
BrynasBIF,FrolundaFHC,2,1
RogleRBK,MalmoMIF,6,4
VaxjoVLH,TimraTIK,3,2
LinkopingLHC,MoraMIK,2,4
HV71HV71,FarjestadFBK,3,2
LuleaLHF,OrebroORE,4,2
LinkopingLHC,HV71HV71,4,3
SkellefteaSKE,FarjestadFBK,4,2
